text,stage
"Enter Theseus, Hippolyta, and Philostrate, with others.",True
"Now, fair Hippolyta, our nuptial hourDraws on apace.",False
Four happy days bring inAnother moon.,False
"But, O, methinks how slowThis old moon wanes!",False
She lingers my desiresLike to a stepdame or a dowagerLong withering out a young man’s revenue.,False
"Four days will quickly steep themselves in night;Four nights will quickly dream away the time;And then the moon, like to a silver bowNew-bent in heaven, shall behold the nightOf our solemnities.",False
"Go, Philostrate,Stir up the Athenian youth to merriments.",False
Awake the pert and nimble spirit of mirth.,False
Turn melancholy forth to funerals;The pale companion is not for our pomp.,False
Philostrate exits.,True
"Hippolyta, I wooed thee with my swordAnd",False
"won thy love doing thee injuries,But I will wed thee in another key,With pomp, with triumph, and with reveling.",False
"Enter Egeus and his daughter Hermia, and Lysander  and Demetrius.",True
"Happy be Theseus, our renownèd duke!Thanks, good Egeus.",False
"What’s the news with thee?Full of vexation come I, with complaintAgainst my child, my daughter Hermia.—Stand forth, Demetrius.—My",False
"noble lord,This man hath my consent to marry her.—Stand forth, Lysander.—And, my gracious duke,This man hath bewitched the bosom of my child.—Thou, thou, Lysander, thou hast",False
given her rhymesAnd interchanged love tokens with my child.,False
"Thou hast by moonlight at her window sungWith feigning voice verses of feigning loveAnd stol’n the impression of her fantasyWith bracelets of thy hair, rings, gauds, conceits,Knacks, trifles, nosegays, sweetmeats—messengersOf strong prevailment in unhardened youth.",False
"With cunning hast thou filched my daughter’s heart,Turned her obedience (which is due to me)To stubborn harshness.—And, my gracious duke",False
",Be it so she will not here before your GraceConsent to marry with Demetrius,I beg the ancient privilege of Athens:As she is mine, I may dispose of her,Which shall be either to this gentlemanOr to her death, according to our lawImmediately provided in that case.",False
"What say you, Hermia?",False
"Be advised, fair maid.",False
"To you, your father should be as a god,One that composed your beauties, yea, and oneTo whom you are but as a form in waxBy him imprinted, and within his powerTo leave the figure or disfigure it.",False
Demetrius is a worthy gentleman.,False
So is Lysander.,False
"In himself he is,But in this kind, wanting your father’s voice,The other must be held the worthier.",False
I would my father looked but with my eyes.,False
Rather your eyes must with his judgment look.,False
I do entreat your Grace to pardon me.,False
"I know not by what power I am made bold,Nor how it may concern my modestyIn such a presence here to plead my thoughts;But",False
I beseech your Grace,False
that I may knowThe worst that may befall me in this caseIf,False
I refuse to wed Demetrius.,False
Either to die the death or to abjureForever the society of men.,False
"Therefore, fair Hermia, question your desires,Know of your youth, examine well your blood,Whether (if you yield not to your father’s choice)You can endure the livery of a nun,For aye to be in shady cloister mewed,To live a barren sister all your life,Chanting faint hymns to the cold fruitless moon.",False
Thrice-blessèd they that master,False
"so their bloodTo undergo such maiden pilgrimage,But",False
"earthlier happy is the rose distilledThan that which, withering on the virgin thorn,Grows, lives, and dies in single blessedness.",False
"So will I grow, so live, so die,",False
"my lord,Ere I will yield my virgin patent upUnto his Lordship",False
whose unwishèd yokeMy soul consents not to give sovereignty.,False
"Take time to pause, and by the next new moon(The sealing day betwixt my love and meFor everlasting bond of fellowship),Upon that day either prepare to dieFor disobedience to your father’s will,Or else to wed Demetrius, as he would,Or on Diana’s altar to protestFor aye austerity and single life.",False
"Relent, sweet Hermia, and",False
", Lysander, yieldThy crazèd title to my certain right.",False
"You have her father’s love, Demetrius.",False
Let me have Hermia,False
’s.,False
Do you marry him.,False
"Scornful Lysander, true",False
", he hath my love;And",False
what is mine my love shall render him.,False
"And she is mine, and",False
all my right of herI do estate unto Demetrius.,False
", to Theseus",True
"I am, my lord, as well derived as he,As well possessed.",False
My love is more than his;My fortunes every way as fairly ranked(If not with vantage) as Demetrius’;And (which is more than all these boasts can be)I am beloved of beauteous Hermia.,False
"Why should not I then prosecute my right?Demetrius, I’ll avouch it to his head,Made love to Nedar’s daughter, Helena,And won her soul; and she, sweet lady, dotes,",False
"Devoutly dotes, dotes in idolatry,Upon this spotted and inconstant man.",False
"I must confess that I have heard so much,And with Demetrius thought to have spoke thereof;But, being overfull of self-affairs",False
",My mind did lose it.—But, Demetrius, come,And come, Egeus; you shall go with me.",False
I have some private schooling for you,False
"both.—For you, fair Hermia, look you arm yourselfTo fit your fancies to your father’s",False
"will,Or else the law of Athens yields you",False
up(Which by no means we may,False
"extenuate)To death or to a vow of single life.—Come,",False
my Hippolyta.,False
"What cheer, my love?—Demetrius and Egeus, go along.",False
I must employ you in some businessAgainst our nuptial and confer with youOf something nearly that concerns yourselves.,False
With duty and desire we follow you.,False
All but Hermia and Lysander exit.,True
"How now, my love?",False
Why is your cheek so pale?How chance the roses there do fade,False
"so fast?Belike for want of rain, which I could wellBeteem them from the tempest of my eyes.",False
Ay me!,False
"For aught that I could ever read,Could ever hear by tale or history,The course of true love never did run smooth.",False
But either it was different in blood—O cross!,False
Too high to be enthralled to low.,False
Or else misgraffèd in respect of years,False
—O spite!,False
Too old to be engaged to young.,False
Or else it stood upon the choice of friends—,False
"O hell, to choose love by another",False
"’s eyes!Or, if there were a sympathy in choice,War, death, or sickness did lay siege to it,Making it momentany as a sound,Swift as a shadow, short as any dream,Brief as the lightning in the collied night,That, in a spleen, unfolds both heaven and Earth,And, ere a man hath power to say “Behold!”The jaws of darkness do devour it up.",False
So quick bright things come to confusion.,False
"If then true lovers have been ever crossed,It stands as an edict in destiny.",False
Then let us teach our trial patienceBecause,False
"it is a customary cross,As due to love as thoughts and dreams and sighs,Wishes and tears, poor fancy’s followers.",False
A good persuasion.,False
